State,Location,Latitude,Longitude
Andaman and Nicobar Islands,Bamboo Flat Latitude and Longitude,11.7,92.71667
Andaman and Nicobar Islands,Nicobar Latitude and Longitude,7.03002,93.79028
Andaman and Nicobar Islands,Port Blair Latitude and Longitude,11.66613,92.74635
Andaman and Nicobar Islands,South Andaman Latitude and Longitude,10.75776,92.52136
Andhra Pradesh,Addanki Latitude and Longitude,15.81061,79.97338
Andhra Pradesh,Adoni Latitude and Longitude,15.62788,77.27495
Andhra Pradesh,Akasahebpet Latitude and Longitude,17.50455,82.56597
Andhra Pradesh,Akividu Latitude and Longitude,16.58225,81.38112
Andhra Pradesh,Akkarampalle Latitude and Longitude,13.65,79.42
Andhra Pradesh,Amalapuram Latitude and Longitude,16.57868,82.00609
Andhra Pradesh,Amudalavalasa Latitude and Longitude,18.41025,83.90295
Andhra Pradesh,Anakapalle Latitude and Longitude,17.69134,83.00395
Andhra Pradesh,Anantapur Latitude and Longitude,14.55,77.41667
Andhra Pradesh,Atmakur Latitude and Longitude,15.88109,78.58704
Andhra Pradesh,Attili Latitude and Longitude,16.7,81.6
Andhra Pradesh,Avanigadda Latitude and Longitude,16.02148,80.91808
Andhra Pradesh,Badvel Latitude and Longitude,14.7451,79.06288
Andhra Pradesh,Banganapalle Latitude and Longitude,15.31771,78.22669
Andhra Pradesh,Bapatla Latitude and Longitude,15.90422,80.46743
Andhra Pradesh,Betamcherla Latitude and Longitude,15.45144,78.14797
Andhra Pradesh,Bhattiprolu Latitude and Longitude,16.1026,80.78074
Andhra Pradesh,Bhimavaram Latitude and Longitude,16.54078,81.52322
Andhra Pradesh,Bhimunipatnam Latitude and Longitude,17.89017,83.45203
Andhra Pradesh,Bobbili Latitude and Longitude,18.57366,83.35925
Andhra Pradesh,Challapalle Latitude and Longitude,16.11756,80.93139
Andhra Pradesh,Chemmumiahpet Latitude and Longitude,15.89794,79.32129
Andhra Pradesh,Chilakalurupet Latitude and Longitude,16.08987,80.16705
Andhra Pradesh,Chinnachowk Latitude and Longitude,14.47516,78.8354
Andhra Pradesh,Chipurupalle Latitude and Longitude,18.31142,83.56846
Andhra Pradesh,Chirala Latitude and Longitude,15.82385,80.35219
